"band","acl","bonnaroo","coachella","lollapalooza","outsidelands","year"
"ALO",0,0,0,0,1,2008
"Battles",0,1,1,1,0,2008
"Bon Iver",0,0,0,0,1,2008
"Flogging Molly",0,0,1,1,0,2008
"Ivan Neville's Dumpstaphunk",0,0,0,0,1,2008
"Radiohead",0,0,0,1,1,2008
"St. Vincent",0,0,1,0,0,2008
"The Avett Brothers",0,1,0,0,0,2008
"Umphrey's McGee",0,1,0,0,0,2008
"Andrew Bird",0,0,0,0,1,2008
"Black Lips",0,0,1,1,0,2008
"Calvin Harris",0,0,1,0,0,2008
"Cat Power",0,0,0,1,0,2008
"Explosions in the Sky",0,0,0,1,0,2008
"Girl Talk",0,0,0,1,0,2008
"Justice",0,0,1,0,0,2008
"M. Ward",1,0,0,0,1,2008
"Madness",0,0,1,0,0,2008
"Manchester Orchestra",0,0,1,1,0,2008
"Modeselektor",0,0,1,0,0,2008
"The Black Keys",1,0,0,1,0,2008
"Amadou & Mariam",0,0,0,1,0,2008
"Bloc Party",0,0,0,1,0,2008
"Dr. Dog",0,0,0,1,0,2008
"Metric",0,0,1,0,0,2008
"Sigur Ros",0,1,0,0,0,2008
"Beck",1,0,0,0,1,2008
"Metallica",0,1,0,0,0,2008
"Regina Spektor",0,0,0,0,1,2008
"Sean Hayes",0,0,0,0,1,2008
"The Kills",1,0,0,1,0,2008
"Two Gallants",0,1,0,0,1,2008
"!!!",0,1,0,0,0,2008
"Cold War Kids",0,0,1,0,1,2008
"Gogol Bordello",1,1,1,1,0,2008
"Grace Potter & The Nocturnals",0,0,0,0,1,2008
"Iron & Wine",1,1,0,0,0,2008
"Man Man",1,0,1,0,0,2008
"My Morning Jacket",0,1,1,0,0,2008
"Primus",0,0,0,0,1,2008
"The Sword",0,1,0,0,0,2008
"Widespread Panic",0,0,0,0,1,2008
"Busy P",0,0,1,0,0,2008
"Deadmau5",0,0,1,0,0,2008
"White Lies",0,0,0,1,0,2008
"Animal Collective",0,0,1,0,0,2008
"Broken Social Scene",0,1,0,1,1,2008
"Chromeo",0,0,1,1,0,2008
"CSS",1,0,0,1,0,2008
"Cut Copy",0,0,1,0,0,2008
"Electric Touch",1,0,1,1,0,2008
"Foals",0,0,0,1,0,2008
"Kanye West",0,1,0,1,0,2008
"Ozomatli",0,1,0,0,0,2008
"The Felice Brothers",0,1,0,0,1,2008
"The National",0,0,1,1,0,2008
"The Swell Season",1,0,1,0,0,2008
"Ha Ha Tonka",0,0,0,1,0,2008
"The Lee Boys",1,1,0,0,0,2008
"MGMT",1,1,1,1,0,2008
"Sia",0,0,1,0,0,2008
"Blues Traveler",0,0,0,1,0,2008
"M.I.A.",0,1,1,0,0,2008
"Pat Green",0,1,0,0,0,2008
"Robert Randolph",0,1,0,0,0,2008
"Slightly Stoopid",1,0,1,0,0,2008
"Vampire Weekend",1,1,1,0,0,2008
"Yeasayer",1,0,0,1,0,2008
"Against Me!",1,1,0,0,0,2008
"The Postelles",0,0,0,1,0,2008
"Erol Alkan",0,0,1,0,0,2008
"Grizzly Bear",0,0,0,1,0,2008
"Hot Chip",1,0,1,0,0,2008
"Steel Train",0,1,0,1,0,2008
"American Bang",1,0,1,0,0,2008
"Jamie Lidell",1,0,0,1,0,2008
"Minus the Bear",0,1,1,0,0,2008
"Rogue Wave",0,0,1,1,0,2008
"Stars",1,0,1,0,0,2008
"The Whigs",0,0,0,1,0,2008
"Brett Dennen",0,0,1,0,0,2008
"Ghostland Observatory",0,1,0,0,0,2008
"K'naan",0,0,0,0,1,2008
"Pearl Jam",0,1,0,0,0,2008
"State Radio",0,1,0,0,0,2008
"Drive-By Truckers",1,1,0,0,1,2008
"Lupe Fiasco",0,1,0,1,0,2008
"Mastadon",0,1,0,0,0,2008
"Okkervil River",1,0,0,1,0,2008
"The Horrors",0,0,1,0,0,2008
"The Ting Tings",0,0,0,1,0,2008
"Ben Folds",0,1,0,0,0,2008
"Dan Deacon",0,0,1,0,0,2008
"Simian Mobile Disco",0,0,1,0,0,2008
"Galactic",1,0,0,0,1,2008
"Nine Inch Nails",0,0,0,1,0,2008
"Rodrigo y Gabriela",0,0,0,0,1,2008
"Wilco",0,0,0,1,1,2008
"Back Door Slam",1,1,0,0,1,2008
"Duffy",1,0,1,1,0,2008
"G. Love & Special Sauce",1,0,0,1,0,2008
"Gnarls Barkley",1,0,0,1,0,2008
"Louis XIV",1,0,0,1,0,2008
"Manu Chao",1,0,0,0,1,2008
"Mason Jennings",1,1,0,1,0,2008
"Mates of State",1,0,0,1,0,2008
"Nicole Atkins & The Sea",1,0,0,1,0,2008
"Robert Plant & Alison Krauss",1,1,0,0,0,2008
"Spiritualized",1,0,1,0,0,2008
"Tegan & Sara",1,1,1,0,0,2008
"The Raconteurs",1,1,0,1,0,2008
"What Made Milwaukee Famous",1,0,0,1,0,2008
"120 Days",0,0,1,0,0,2008
"Adam Freeland",0,0,1,0,0,2008
"Aesop Rock",0,0,1,0,0,2008
"Akron/Family",0,0,1,0,0,2008
"Architecture in Helsinki",0,0,1,0,0,2008
"Austin TV",0,0,1,0,0,2008
"Autolux",0,0,1,0,0,2008
"Black Kids",0,1,1,1,0,2008
"Black Mountain",0,0,1,0,1,2008
"Bonde Do Role",0,0,1,0,0,2008
"Booka Shade",0,0,1,1,0,2008
"Boyz Noize",0,0,1,0,0,2008
"Café Tacuba",0,0,1,0,0,2008
"carbon/silicon",0,0,1,0,0,2008
"Cinematic Orchestra",0,0,1,0,0,2008
"Dan Le Sac Vs Scroobius Pip",0,0,1,0,0,2008
"Danny Tenaglia",0,0,1,0,0,2008
"Datarock",0,0,1,0,0,2008
"Death Cab for Cutie",0,0,1,0,0,2008
"DeVotchKa",0,0,1,0,0,2008
"Diplo",0,0,1,0,0,2008
"Dmitri from Paris",0,0,1,0,0,2008
"Does It Offend You",0,0,1,0,0,2008
"Dredg",0,0,1,0,1,2008
"Dwight Yoakam",0,0,1,0,0,2008
"Enter Shikari",0,0,1,0,0,2008
"Fatboy Slim",0,0,1,0,0,2008
"Grand Ole Party",0,0,1,0,0,2008
"Holy Fuck",0,0,1,0,0,2008
"I'm From barcelona",0,0,1,0,0,2008
"Institubes DJs",0,0,1,0,0,2008
"Islands",0,0,1,0,0,2008
"Jack Johnson",0,1,1,0,1,2008
"James Zabiela",0,0,1,0,0,2008
"Jamie T",0,0,1,0,0,2008
"Jens Lekman",0,0,1,0,0,2008
"John Butler Trio",0,0,1,1,0,2008
"Junkie XL",0,0,1,0,0,2008
"Kavinsky",0,0,1,0,0,2008
"Kid Sister w/ A-Trak",0,0,1,0,0,2008
"Kraftwerk",0,0,1,0,0,2008
"Les Savy Fav",0,0,1,0,0,2008
"Linton Kwesi Johnson",0,0,1,0,0,2008
"Little Brother",0,0,1,0,1,2008
"Love and Rockets",0,0,1,1,0,2008
"Lucky I Am",0,0,1,0,0,2008
"Mark Ronson",0,0,1,1,0,2008
"Midnight Juggernauts",0,0,1,0,0,2008
"Mum",0,0,1,0,0,2008
"Murs",0,0,1,0,0,2008
"New Young Pony Club",0,0,1,0,0,2008
"Plastiscines",0,0,1,0,0,2008
"Porter",0,0,1,0,0,2008
"Portishead",0,0,1,0,0,2008
"Professor Murder",0,0,1,0,0,2008
"Raconteurs",0,0,1,0,0,2008
"Reverend and the Makers",0,0,1,0,0,2008
"Rilo Kiley",0,1,1,0,0,2008
"Roger Waters",0,0,1,0,0,2008
"Sandra Collins",0,0,1,0,0,2008
"Santogold",0,0,1,1,0,2008
"Sasha & Digweed",0,0,1,0,0,2008
"Scars on Broadway",0,0,1,0,0,2008
"Sebastian",0,0,1,0,0,2008
"Sharon Jones & The Dap Kings",0,0,1,0,0,2008
"Shout Out Louds",0,0,1,0,0,2008
"Sons & Daughters",0,0,1,0,0,2008
"Spank Rock",0,0,1,1,0,2008
"Stephen Malkmus & the Jicks",0,0,1,0,0,2008
"The Annuals",0,0,1,0,0,2008
"The Bees",0,0,1,0,0,2008
"The Bird and the Bee",0,0,1,0,0,2008
"The Breeders",0,0,1,0,0,2008
"The Cool Kids",0,0,1,1,1,2008
"The Field",0,0,1,0,0,2008
"The Streets",0,0,1,0,0,2008
"The Teenagers",0,0,1,0,0,2008
"The Verve",0,0,1,0,0,2008
"Turbonegro",0,0,1,0,0,2008
"Uffie",0,0,1,1,0,2008
"VHS or Beta",0,0,1,0,0,2008
"Yeah?",0,0,1,0,0,2008
"Yo Majesty!",0,0,1,0,0,2008
"Yoav",0,0,1,0,0,2008
"Bald Eagle",0,0,0,1,0,2008
"Bang Camaro",0,0,0,1,0,2008
"Brand New",0,0,0,1,0,2008
"Brazilian Girls",0,0,0,1,0,2008
"Butch Walker",0,0,0,1,0,2008
"Cadence Weapon",0,0,0,1,0,2008
"De Novo Dahi",0,0,0,1,0,2008
"Dierks Bentley",0,0,0,1,0,2008
"Does It Offend you, Yeah?",0,0,0,1,0,2008
"Eli ""Paperboy"" Reed & the True Loves",0,0,0,1,0,2008
"Ferras",0,0,0,1,0,2008
"Innerpartysystem",0,0,0,1,0,2008
"K'NAAN",0,0,0,1,0,2008
"Kid Sister",0,0,0,1,0,2008
"Krista",0,0,0,1,0,2008
"Magic Wands",0,0,0,1,0,2008
"Margot & the Nuclear So and So's",0,0,0,1,0,2008
"Newton Faulkner",0,0,0,1,0,2008
"Noah and the Whale",0,0,0,1,0,2008
"Office",0,0,0,1,0,2008
"Rage Against the Machine",0,0,0,1,0,2008
"Serena Ryder",0,1,0,1,0,2008
"Sharon Jones & the Dap-Kings",0,0,0,1,0,2008
"Sofia Talvik",0,0,0,1,0,2008
"Stephen Malkmus & The Jicks",0,0,0,1,0,2008
"Tally Hall",0,0,0,1,0,2008
"The Blakes",0,0,0,1,0,2008
"The Go! Team",0,0,0,1,0,2008
"The Gutter Twins",0,0,0,1,0,2008
"The Octopus Project",0,0,0,1,0,2008
"The Parlor Mob ",0,0,0,1,0,2008
"The Weakerthans",0,0,0,1,0,2008
"We Go To 11",0,0,0,1,0,2008
"Witchcraft",0,0,0,1,0,2008
"Your Vegas",0,0,0,1,0,2008
"Abigail Washburn & the Sparrow Quartet",0,1,0,0,0,2008
"Aimee Mann",0,1,0,0,0,2008
"B.B. King",0,1,0,0,0,2008
"Dark Star Orchestra",0,1,0,0,0,2008
"Death Cab For Cutie",0,1,0,0,0,2008
"Derek Trucks & Susan Tedeschi's Soul Stew Revival",0,1,0,0,0,2008
"Donavon Frankenreiter",0,1,0,0,1,2008
"Grupo Fantasma",0,1,0,0,0,2008
"Israel Vibration",0,1,0,0,0,2008
"Jakob Dylan",0,1,0,0,0,2008
"Jose Gonzalez",0,1,0,0,0,2008
"Ladytron",0,1,0,0,0,2008
"Levon Helm",0,1,0,0,0,2008
"Lez Zeppelin",0,1,0,0,0,2008
"Little Feat",0,1,0,0,0,2008
"Nicole Atkins",0,1,0,0,0,2008
"O.A.R.",0,1,0,0,0,2008
"Orchestra baobab",0,1,0,0,0,2008
"Phil Lesh & Friends",0,1,0,0,0,2008
"Sharon Jones & The Dap-Kings",0,1,0,0,0,2008
"Solomon Burke",0,1,0,0,0,2008
"Swell Season",0,1,0,0,0,2008
"Talib Kweli",0,1,0,0,0,2008
"The Allman Brothers Band",0,1,0,0,0,2008
"The Bluegrass Allstars",0,1,0,0,0,2008
"The Fiery Furnaces",0,1,0,0,0,2008
"Willie Nelson",0,1,0,0,0,2008
"Yonder Mountain String Band",0,1,0,0,0,2008
"Ben Harper",0,0,0,0,1,2008
"Café Tacvba",0,0,0,0,1,2008
"Devendra Banhart",0,0,0,0,1,2008
"Goapele",0,0,0,0,1,2008
"Matt Nathanson",0,0,0,0,1,2008
"Nellie McKay",0,0,0,0,1,2008
"Rupa & the April Fishes",0,0,0,0,1,2008
"Sharon Jones and The Dap-Kings",0,0,0,0,1,2008
"Sidestepper",0,0,0,0,1,2008
"Steel Pulse",0,0,0,0,1,2008
"Steve Winwood",0,0,0,0,1,2008
"The Coup",0,0,0,0,1,2008
"The Mother Hips",0,0,0,0,1,2008
"Tom Petty & The Heartbreakers",0,0,0,0,1,2008
"Blind Pilot",0,0,0,1,1,2009
"Bon Iver1",1,1,0,1,0,2009
"Delta Spirit",0,1,0,1,0,2009
"Phish",0,1,0,0,0,2009
"St. Vincent1",0,1,0,0,0,2009
"Andrew Bird1",1,1,0,1,0,2009
"Arctic Monkeys",1,0,0,1,0,2009
"Beirut",0,0,1,0,0,2009
"Girl Talk1",1,1,1,0,0,2009
"Grace Potter and the Nocturnals",0,1,0,0,0,2009
"Kaiser Chiefs",0,0,0,1,0,2009
"Kaskade",0,0,0,1,0,2009
"LA Riots",0,0,0,1,0,2009
"M. Ward1",0,0,1,0,0,2009
"Manchester Orchestra1",0,0,0,1,0,2009
"Miike Snow",0,0,0,1,0,2009
"Other Lives",0,0,0,1,0,2009
"Santigold",0,1,0,1,0,2009
"The Black Keys1",0,0,1,0,0,2009
"Bassnectar",1,0,0,1,0,2009
"Chairlift",0,1,0,1,0,2009
"Dr. Dog1",1,0,1,0,0,2009
"Franz Ferdinand",0,0,1,0,0,2009
"JJ Grey & Mofro",0,0,0,0,1,2009
"Kevin Devine",0,0,0,1,0,2009
"Passion Pit",1,0,0,1,0,2009
"MSTRKRFT",0,0,1,1,0,2009
"Portugal. The Man",0,1,0,1,1,2009
"The Kills1",0,0,1,0,0,2009
"Alberta Cross",1,1,1,1,0,2009
"Atmosphere",0,0,1,1,1,2009
"Cold War Kids1",0,0,0,1,0,2009
"Deerhunter",0,0,0,1,1,2009
"Matt & Kim",0,0,0,0,1,2009
"STS9",1,0,0,1,0,2009
"The Decemberists",1,1,0,1,0,2009
"The Low Anthem",1,1,0,1,0,2009
"Cage The Elephant",0,0,0,1,0,2009
"Crystal Castles",0,1,1,1,0,2009
"Deadmau51",0,0,0,1,0,2009
"Friendly Fires",0,0,1,1,0,2009
"Noah & The Whale",0,0,1,0,0,2009
"The Glitch Mob",0,0,0,1,0,2009
"Ween",0,0,0,0,1,2009
"White Lies1",1,0,1,1,0,2009
"A-Trak",0,0,0,1,0,2009
"Animal Collective1",0,1,0,1,0,2009
"Ariel Pink's Haunted Graffiti",0,0,1,0,0,2009
"Cage the Elephant",0,0,1,0,0,2009
"Electric Touch1",0,0,1,0,0,2009
"Erykah Badu",0,1,0,0,0,2009
"Kings of Leon",1,0,0,1,0,2009
"Raphael Saadiq",0,1,0,0,1,2009
"Rye Rye",0,0,0,1,0,2009
"The Henry Clay People",1,0,0,1,0,2009
"The Morning Benders",0,0,0,0,1,2009
"The National1",0,0,0,0,1,2009
"The Presets",0,0,1,0,0,2009
"Fleet Foxes",0,0,1,1,0,2009
"Gomez",0,1,0,1,0,2009
"Ryan Bingham",0,0,1,0,1,2009
"The Airborne Toxic Event",1,0,1,0,0,2009
"TV on the Radio",0,1,1,1,1,2009
"MGMT1",0,1,0,0,0,2009
"Band of Horses",0,0,1,1,1,2009
"Gaslight Anthem",0,0,1,1,0,2009
"Hockey",0,0,0,1,0,2009
"Kinky",0,0,0,0,1,2009
"M.I.A.1",0,0,0,0,1,2009
"Robert Earl Keen",0,1,0,1,0,2009
"Trombone Shorty",0,0,0,0,1,2009
"Vampire Weekend1",0,0,0,1,0,2009
"Yeasayer1",0,1,0,0,0,2009
"Blitzen Trapper",1,0,1,0,0,2009
"Calexico",0,0,1,0,1,2009
"Dave Matthews Band",1,0,0,0,1,2009
"Kid Cudi",0,0,0,1,0,2009
"Michael Franti & Spearhead",1,0,1,0,0,2009
"Rise Against",0,0,0,1,0,2009
"The Dead Weather",1,0,0,0,1,2009
"The Dodos",1,0,0,0,1,2009
"Thievery Corporation",1,0,1,1,1,2009
"Tinariwen",0,0,1,0,0,2009
"Zac Brown Band",1,1,0,0,0,2009
"Coheed and Cambria",1,1,0,1,0,2009
"Craze & Klever",0,0,1,0,0,2009
"Grizzly Bear1",1,1,0,0,0,2009
"Ra Ra Riot",0,0,0,1,0,2009
"The Raveonettes",1,0,0,1,0,2009
"Mexican Institute of Sound",0,0,1,0,0,2009
"Peanut Butter Wolf",0,0,1,0,0,2009
"Perry Farrell",0,0,1,0,0,2009
"Al Green",0,1,0,0,0,2009
"Vieux Farka Toure",0,1,0,0,0,2009
"Beastie Boys",1,1,0,1,1,2009
"Ben Harper and Relentless7",1,1,0,0,0,2009
"Brett Dennen1",1,1,0,0,1,2009
"Citizen Cope",1,1,0,0,0,2009
"Dan Auerbach",1,0,0,1,0,2009
"Federico Aubele",1,0,0,1,0,2009
"Ghostland Observatory1",1,0,1,0,0,2009
"John Vanderslice",1,0,0,0,1,2009
"K'naan1",1,0,1,0,0,2009
"Pearl Jam1",1,0,0,0,1,2009
"Sam Roberts Band",1,0,0,1,0,2009
"The Knux",1,1,1,1,0,2009
"The Virgins",1,0,0,1,0,2009
"Todd Snider",1,1,0,0,0,2009
"A Place to Bury Strangers",0,0,1,0,0,2009
"Amanda Palmer",0,0,1,0,0,2009
"Amy Winehouse",0,0,1,0,0,2009
"Antony & the Johnsons",0,0,1,0,0,2009
"Bajefondo",0,0,1,0,0,2009
"Billy Talent",0,0,1,0,0,2009
"Bob Mould Band",0,0,1,0,0,2009
"Booker T & The DBT's",0,0,1,0,0,2009
"Brian Jonestown Massacre",0,0,1,0,0,2009
"Buraka Som Sistema",0,0,1,0,0,2009
"Christopher Lawrence",0,0,1,0,0,2009
"Clipse",0,0,1,0,0,2009
"Cloud Cult",0,0,1,0,0,2009
"Conor Oberst",0,0,1,0,0,2009
"Crookers",0,0,1,1,0,2009
"Dear and the Headlights",0,0,1,0,0,2009
"Drive-By Truckers1",0,0,1,0,0,2009
"Drop the Lime",0,0,1,0,0,2009
"Felix da Housecat",0,0,1,0,0,2009
"Fucked Up",0,0,1,0,0,2009
"Gang Gang Dance",0,0,1,1,0,2009
"Glass Candy",0,0,1,0,0,2009
"Glasvegas",0,0,1,1,0,2009
"Groove Armada",0,0,1,0,0,2009
"Gui Boratto",0,0,1,0,0,2009
"Henry Rollins",0,0,1,0,0,2009
"Hercules and Love Affair",0,0,1,1,0,2009
"Ida Maria",0,0,1,1,0,2009
"James Morrison",0,0,1,0,0,2009
