"Opening","Solder","Mask","PadType","Panel","skips"
"S","Thick","A3","L8",2,6
"S","Thick","A3","L8",3,8
"S","Thick","A3","W9",1,2
"S","Thick","A3","W9",2,1
"S","Thick","A3","W9",3,1
"S","Thick","A3","L9",1,0
"S","Thick","A3","L9",2,4
"S","Thick","A3","L9",3,4
"L","Thin","A3","W4",1,0
"L","Thin","A3","W4",2,2
"L","Thin","A3","W4",3,1
"L","Thin","A3","D4",1,0
"L","Thin","A3","D4",2,7
"L","Thin","A3","D4",3,8
"L","Thin","A3","L4",1,2
"L","Thin","A3","L4",2,2
"L","Thin","A3","L4",3,3
"L","Thin","A3","D6",1,0
"L","Thin","A3","D6",2,5
"L","Thin","A3","D6",3,3
"L","Thin","A3","L6",1,0
"L","Thin","A3","L6",2,0
"L","Thin","A3","L6",3,1
"L","Thin","A3","D7",1,1
"L","Thin","A3","D7",2,5
"L","Thin","A3","D7",3,5
"L","Thin","A3","L7",1,1
"L","Thin","A3","L7",2,0
"L","Thin","A3","L7",3,3
"L","Thin","A3","L8",1,1
"L","Thin","A3","L8",2,2
"L","Thin","A3","L8",3,2
"L","Thin","A3","W9",1,0
"L","Thin","A3","W9",2,2
"L","Thin","A3","W9",3,0
"L","Thin","A3","L9",1,0
"L","Thin","A3","L9",2,0
"L","Thin","A3","L9",3,4
"M","Thin","A6","W4",1,7
"M","Thin","A6","W4",2,5
"M","Thin","A6","W4",3,10
"M","Thin","A6","D4",1,10
"M","Thin","A6","D4",2,22
"M","Thin","A6","D4",3,24
"M","Thin","A6","L4",1,13
"M","Thin","A6","L4",2,21
"M","Thin","A6","L4",3,18
"M","Thin","A6","D6",1,8
"M","Thin","A6","D6",2,3
"M","Thin","A6","D6",3,8
"M","Thin","A6","L6",1,2
"M","Thin","A6","L6",2,4
"M","Thin","A6","L6",3,6
"M","Thin","A6","D7",1,7
"M","Thin","A6","D7",2,13
"M","Thin","A6","D7",3,19
"M","Thin","A6","L7",1,4
"M","Thin","A6","L7",2,8
"M","Thin","A6","L7",3,8
"M","Thin","A6","L8",1,7
"M","Thin","A6","L8",2,9
"M","Thin","A6","L8",3,8
"M","Thin","A6","W9",1,3
"M","Thin","A6","W9",2,0
"M","Thin","A6","W9",3,1
"M","Thin","A6","L9",1,3
"M","Thin","A6","L9",2,7
"M","Thin","A6","L9",3,15
"S","Thin","A6","W4",1,16
"S","Thin","A6","W4",2,34
"S","Thin","A6","W4",3,34
"S","Thin","A6","D4",1,20
"S","Thin","A6","D4",2,39
"S","Thin","A6","D4",3,40
"S","Thin","A6","L4",1,25
"S","Thin","A6","L4",2,37
"S","Thin","A6","L4",3,33
"S","Thin","A6","D6",1,15
"S","Thin","A6","D6",2,28
"S","Thin","A6","D6",3,29
"S","Thin","A6","L6",1,7
"S","Thin","A6","L6",2,15
"S","Thin","A6","L6",3,18
"S","Thin","A6","D7",1,24
"S","Thin","A6","D7",2,33
"S","Thin","A6","D7",3,36
"S","Thin","A6","L7",1,13
"S","Thin","A6","L7",2,19
"S","Thin","A6","L7",3,23
"S","Thin","A6","L8",1,15
"S","Thin","A6","L8",2,20
"S","Thin","A6","L8",3,22
"S","Thin","A6","W9",1,3
"S","Thin","A6","W9",2,4
"S","Thin","A6","W9",3,6
"S","Thin","A6","L9",1,8
"S","Thin","A6","L9",2,17
"S","Thin","A6","L9",3,22
"L","Thick","B3","W4",1,0
"L","Thick","B3","W4",2,0
"L","Thick","B3","W4",3,1
"L","Thick","B3","D4",1,0
"L","Thick","B3","D4",2,0
"L","Thick","B3","D4",3,0
"L","Thick","B3","L4",1,1
"L","Thick","B3","L4",2,5
"L","Thick","B3","L4",3,2
"L","Thick","B3","D6",1,0
"L","Thick","B3","D6",2,1
"L","Thick","B3","D6",3,3
"L","Thick","B3","L6",1,3
"L","Thick","B3","L6",2,3
"L","Thick","B3","L6",3,1
"L","Thick","B3","D7",1,0
"L","Thick","B3","D7",2,0
"L","Thick","B3","D7",3,2
"L","Thick","B3","L7",1,0
"L","Thick","B3","L7",2,2
"L","Thick","B3","L7",3,0
"L","Thick","B3","L8",1,3
"L","Thick","B3","L8",2,2
"L","Thick","B3","L8",3,2
"L","Thick","B3","W9",1,0
"L","Thick","B3","W9",2,0
"L","Thick","B3","W9",3,0
"L","Thick","B3","L9",1,0
"L","Thick","B3","L9",2,0
"L","Thick","B3","L9",3,0
"M","Thick","B3","W4",1,0
"M","Thick","B3","W4",2,1
"M","Thick","B3","W4",3,0
"M","Thick","B3","D4",1,2
"M","Thick","B3","D4",2,0
"M","Thick","B3","D4",3,0
"M","Thick","B3","L4",1,0
"M","Thick","B3","L4",2,3
"M","Thick","B3","L4",3,1
"M","Thick","B3","D6",1,0
"M","Thick","B3","D6",2,0
"M","Thick","B3","D6",3,0
"M","Thick","B3","L6",1,2
"M","Thick","B3","L6",2,2
"M","Thick","B3","L6",3,1
"M","Thick","B3","D7",1,2
"M","Thick","B3","D7",2,2
"M","Thick","B3","D7",3,1
"M","Thick","B3","L7",1,2
"M","Thick","B3","L7",2,1
"M","Thick","B3","L7",3,0
"M","Thick","B3","L8",1,1
"M","Thick","B3","L8",2,1
"M","Thick","B3","L8",3,0
"M","Thick","B3","W9",1,0
"M","Thick","B3","W9",2,0
"M","Thick","B3","W9",3,1
"M","Thick","B3","L9",1,1
"M","Thick","B3","L9",2,2
"M","Thick","B3","L9",3,1
"S","Thick","B3","W4",1,2
"S","Thick","B3","W4",2,6
"S","Thick","B3","W4",3,5
"S","Thick","B3","D4",1,9
"S","Thick","B3","D4",2,9
"S","Thick","B3","D4",3,10
"S","Thick","B3","L4",1,10
"S","Thick","B3","L4",2,14
"S","Thick","B3","L4",3,19
"S","Thick","B3","D6",1,2
"S","Thick","B3","D6",2,6
"S","Thick","B3","D6",3,6
"S","Thick","B3","L6",1,2
"S","Thick","B3","L6",2,2
"S","Thick","B3","L6",3,7
"S","Thick","B3","D7",1,7
"S","Thick","B3","D7",2,7
"S","Thick","B3","D7",3,10
"S","Thick","B3","L7",1,14
"S","Thick","B3","L7",2,8
"S","Thick","B3","L7",3,6
"S","Thick","B3","L8",1,9
"S","Thick","B3","L8",2,8
"S","Thick","B3","L8",3,8
"S","Thick","B3","W9",1,2
"S","Thick","B3","W9",2,1
"S","Thick","B3","W9",3,1
"S","Thick","B3","L9",1,3
"S","Thick","B3","L9",2,5
"S","Thick","B3","L9",3,6
"L","Thin","B3","W4",1,0
"L","Thin","B3","W4",2,1
"L","Thin","B3","W4",3,2
"L","Thin","B3","D4",1,0
"L","Thin","B3","D4",2,5
"L","Thin","B3","D4",3,5
"L","Thin","B3","L4",1,3
"L","Thin","B3","L4",2,9
"L","Thin","B3","L4",3,6
"L","Thin","B3","D6",1,3
"L","Thin","B3","D6",2,1
"L","Thin","B3","D6",3,1
"L","Thin","B3","L6",1,0
"L","Thin","B3","L6",2,4
"L","Thin","B3","L6",3,3
"L","Thin","B3","D7",1,0
"L","Thin","B3","D7",2,2
"L","Thin","B3","D7",3,5
"L","Thin","B3","L7",1,2
"L","Thin","B3","L7",2,2
"L","Thin","B3","L7",3,5
"L","Thin","B3","L8",1,1
"L","Thin","B3","L8",2,4
"L","Thin","B3","L8",3,3
"L","Thin","B3","W9",1,0
"L","Thin","B3","W9",2,1
"L","Thin","B3","W9",3,1
"L","Thin","B3","L9",1,0
"L","Thin","B3","L9",2,0
"L","Thin","B3","L9",3,0
"M","Thin","B3","W4",1,0
"M","Thin","B3","W4",2,1
"M","Thin","B3","W4",3,8
"M","Thin","B3","D4",1,0
"M","Thin","B3","D4",2,3
"M","Thin","B3","D4",3,7
"M","Thin","B3","L4",1,0
"M","Thin","B3","L4",2,3
"M","Thin","B3","L4",3,4
"M","Thin","B3","D6",1,1
"M","Thin","B3","D6",2,1
"M","Thin","B3","D6",3,2
"M","Thin","B3","L6",1,0
"M","Thin","B3","L6",2,2
"M","Thin","B3","L6",3,1
"M","Thin","B3","D7",1,1
"M","Thin","B3","D7",2,2
"M","Thin","B3","D7",3,3
"M","Thin","B3","L7",1,2
"M","Thin","B3","L7",2,2
"M","Thin","B3","L7",3,2
"M","Thin","B3","L8",1,1
"M","Thin","B3","L8",2,5
"M","Thin","B3","L8",3,2
"M","Thin","B3","W9",1,0
"M","Thin","B3","W9",2,0
"M","Thin","B3","W9",3,0
"M","Thin","B3","L9",1,0
"M","Thin","B3","L9",2,0
"M","Thin","B3","L9",3,4
"S","Thin","B3","W4",1,16
"S","Thin","B3","W4",2,27
"S","Thin","B3","W4",3,28
"S","Thin","B3","D4",1,24
"S","Thin","B3","D4",2,29
"S","Thin","B3","D4",3,25
"S","Thin","B3","L4",1,24
"S","Thin","B3","L4",2,34
"S","Thin","B3","L4",3,32
"S","Thin","B3","D6",1,17
"S","Thin","B3","D6",2,27
"S","Thin","B3","D6",3,22
"S","Thin","B3","L6",1,15
"S","Thin","B3","L6",2,11
"S","Thin","B3","L6",3,13
"S","Thin","B3","D7",1,19
"S","Thin","B3","D7",2,24
"S","Thin","B3","D7",3,23
"S","Thin","B3","L7",1,20
"S","Thin","B3","L7",2,18
"S","Thin","B3","L7",3,11
"S","Thin","B3","L8",1,20
"S","Thin","B3","L8",2,28
"S","Thin","B3","L8",3,16
"S","Thin","B3","W9",1,5
"S","Thin","B3","W9",2,3
"S","Thin","B3","W9",3,4
"S","Thin","B3","L9",1,12
"S","Thin","B3","L9",2,14
"S","Thin","B3","L9",3,16
"L","Thick","B6","W4",1,6
"L","Thick","B6","W4",2,8
"L","Thick","B6","W4",3,3
"L","Thick","B6","D4",1,1
"L","Thick","B6","D4",2,0
"L","Thick","B6","D4",3,1
"L","Thick","B6","L4",1,0
"L","Thick","B6","L4",2,0
"L","Thick","B6","L4",3,0
"L","Thick","B6","D6",1,0
"L","Thick","B6","D6",2,0
"L","Thick","B6","D6",3,0
"L","Thick","B6","L6",1,0
"L","Thick","B6","L6",2,0
"L","Thick","B6","L6",3,0
"L","Thick","B6","D7",1,0
"L","Thick","B6","D7",2,0
"L","Thick","B6","D7",3,0
"L","Thick","B6","L7",1,0
"L","Thick","B6","L7",2,0
"L","Thick","B6","L7",3,0
"L","Thick","B6","L8",1,1
"L","Thick","B6","L8",2,0
"L","Thick","B6","L8",3,0
"L","Thick","B6","W9",1,1
"L","Thick","B6","W9",2,1
"L","Thick","B6","W9",3,0
"L","Thick","B6","L9",1,0
"L","Thick","B6","L9",2,1
"L","Thick","B6","L9",3,0
"M","Thick","B6","W4",1,0
"M","Thick","B6","W4",2,2
"M","Thick","B6","W4",3,2
"M","Thick","B6","D4",1,2
"M","Thick","B6","D4",2,5
"M","Thick","B6","D4",3,0
"M","Thick","B6","L4",1,5
"M","Thick","B6","L4",2,9
"M","Thick","B6","L4",3,6
"M","Thick","B6","D6",1,0
"M","Thick","B6","D6",2,2
"M","Thick","B6","D6",3,0
"M","Thick","B6","L6",1,4
"M","Thick","B6","L6",2,1
"M","Thick","B6","L6",3,1
"M","Thick","B6","D7",1,5
"M","Thick","B6","D7",2,4
"M","Thick","B6","D7",3,1
"M","Thick","B6","L7",1,4
"M","Thick","B6","L7",2,3
"M","Thick","B6","L7",3,1
"M","Thick","B6","L8",1,5
"M","Thick","B6","L8",2,10
"M","Thick","B6","L8",3,2
"M","Thick","B6","W9",1,0
"M","Thick","B6","W9",2,2
"M","Thick","B6","W9",3,0
"M","Thick","B6","L9",1,0
"M","Thick","B6","L9",2,2
"M","Thick","B6","L9",3,0
"S","Thick","B6","W4",1,17
"S","Thick","B6","W4",2,10
"S","Thick","B6","W4",3,12
"S","Thick","B6","D4",1,9
"S","Thick","B6","D4",2,22
"S","Thick","B6","D4",3,18
"S","Thick","B6","L4",1,29
"S","Thick","B6","L4",2,30
"S","Thick","B6","L4",3,27
"S","Thick","B6","D6",1,13
"S","Thick","B6","D6",2,13
"S","Thick","B6","D6",3,19
"S","Thick","B6","L6",1,7
"S","Thick","B6","L6",2,14
"S","Thick","B6","L6",3,6
"S","Thick","B6","D7",1,13
"S","Thick","B6","D7",2,19
"S","Thick","B6","D7",3,19
"S","Thick","B6","L7",1,13
"S","Thick","B6","L7",2,21
"S","Thick","B6","L7",3,13
"S","Thick","B6","L8",1,14
"S","Thick","B6","L8",2,15
"S","Thick","B6","L8",3,11
"S","Thick","B6","W9",1,2
"S","Thick","B6","W9",2,5
"S","Thick","B6","W9",3,5
"S","Thick","B6","L9",1,10
"S","Thick","B6","L9",2,7
"S","Thick","B6","L9",3,8
"L","Thin","B6","W4",1,13
"L","Thin","B6","W4",2,11
"L","Thin","B6","W4",3,17
"L","Thin","B6","D4",1,4
"L","Thin","B6","D4",2,11
"L","Thin","B6","D4",3,15
"L","Thin","B6","L4",1,6
"L","Thin","B6","L4",2,17
"L","Thin","B6","L4",3,12
"L","Thin","B6","D6",1,3
"L","Thin","B6","D6",2,3
"L","Thin","B6","D6",3,7
"L","Thin","B6","L6",1,4
"L","Thin","B6","L6",2,6
"L","Thin","B6","L6",3,3
"L","Thin","B6","D7",1,7
"L","Thin","B6","D7",2,11
"L","Thin","B6","D7",3,10
"L","Thin","B6","L7",1,3
"L","Thin","B6","L7",2,3
"L","Thin","B6","L7",3,5
"L","Thin","B6","L8",1,5
"L","Thin","B6","L8",2,11
"L","Thin","B6","L8",3,9
"L","Thin","B6","W9",1,1
"L","Thin","B6","W9",2,0
"L","Thin","B6","W9",3,0
"L","Thin","B6","L9",1,7
"L","Thin","B6","L9",2,8
"L","Thin","B6","L9",3,4
"M","Thin","B6","W4",1,5
"M","Thin","B6","W4",2,7
"M","Thin","B6","W4",3,9
"M","Thin","B6","D4",1,5
"M","Thin","B6","D4",2,21
"M","Thin","B6","D4",3,14
"M","Thin","B6","L4",1,9
"M","Thin","B6","L4",2,17
"M","Thin","B6","L4",3,15
"M","Thin","B6","D6",1,3
"M","Thin","B6","D6",2,7
"M","Thin","B6","D6",3,4
"M","Thin","B6","L6",1,5
"M","Thin","B6","L6",2,4
"M","Thin","B6","L6",3,4
"M","Thin","B6","D7",1,7
"M","Thin","B6","D7",2,14
"M","Thin","B6","D7",3,7
"M","Thin","B6","L7",1,7
"M","Thin","B6","L7",2,7
"M","Thin","B6","L7",3,4
"M","Thin","B6","L8",1,8
"M","Thin","B6","L8",2,5
"M","Thin","B6","L8",3,11
"M","Thin","B6","W9",1,3
"M","Thin","B6","W9",2,4
"M","Thin","B6","W9",3,5
"M","Thin","B6","L9",1,0
"M","Thin","B6","L9",2,8
"M","Thin","B6","L9",3,9
"S","Thin","B6","W4",1,46
"S","Thin","B6","W4",2,48
"S","Thin","B6","W4",3,45
"S","Thin","B6","D4",1,39
"S","Thin","B6","D4",2,44
"S","Thin","B6","D4",3,45
"S","Thin","B6","L4",1,39
"S","Thin","B6","L4",2,41
"S","Thin","B6","L4",3,42
"S","Thin","B6","D6",1,34
"S","Thin","B6","D6",2,44
"S","Thin","B6","D6",3,30
"S","Thin","B6","L6",1,13
"S","Thin","B6","L6",2,25
"S","Thin","B6","L6",3,20
"S","Thin","B6","D7",1,36
"S","Thin","B6","D7",2,43
"S","Thin","B6","D7",3,35
"S","Thin","B6","L7",1,11
"S","Thin","B6","L7",2,29
"S","Thin","B6","L7",3,20
"S","Thin","B6","L8",1,15
"S","Thin","B6","L8",2,31
"S","Thin","B6","L8",3,26
"S","Thin","B6","W9",1,13
"S","Thin","B6","W9",2,21
"S","Thin","B6","W9",3,15
"S","Thin","B6","L9",1,11
"S","Thin","B6","L9",2,33
"S","Thin","B6","L9",3,15
