"Year","Month","co2"
1958,"Jan.",NA
1958,"Feb.",NA
1958,"March",315.71
1958,"April",317.45
1958,"May",317.5
1958,"June",NA
1958,"July",315.86
1958,"Aug.",314.93
1958,"Sept.",313.19
1958,"Oct.",NA
1958,"Nov.",313.34
1958,"Dec.",314.67
1959,"Jan.",315.58
1959,"Feb.",316.47
1959,"March",316.65
1959,"April",317.71
1959,"May",318.29
1959,"June",318.16
1959,"July",316.55
1959,"Aug.",314.8
1959,"Sept.",313.84
1959,"Oct.",313.34
1959,"Nov.",314.81
1959,"Dec.",315.59
1960,"Jan.",316.43
1960,"Feb.",316.97
1960,"March",317.58
1960,"April",319.03
1960,"May",320.03
1960,"June",319.59
1960,"July",318.18
1960,"Aug.",315.91
1960,"Sept.",314.16
1960,"Oct.",313.83
1960,"Nov.",315
1960,"Dec.",316.19
1961,"Jan.",316.89
1961,"Feb.",317.7
1961,"March",318.54
1961,"April",319.48
1961,"May",320.58
1961,"June",319.78
1961,"July",318.58
1961,"Aug.",316.79
1961,"Sept.",314.99
1961,"Oct.",315.31
1961,"Nov.",316.1
1961,"Dec.",317.01
1962,"Jan.",317.94
1962,"Feb.",318.56
1962,"March",319.69
1962,"April",320.58
1962,"May",321.01
1962,"June",320.61
1962,"July",319.61
1962,"Aug.",317.4
1962,"Sept.",316.26
1962,"Oct.",315.42
1962,"Nov.",316.69
1962,"Dec.",317.69
1963,"Jan.",318.74
1963,"Feb.",319.08
1963,"March",319.86
1963,"April",321.39
1963,"May",322.24
1963,"June",321.47
1963,"July",319.74
1963,"Aug.",317.77
1963,"Sept.",316.21
1963,"Oct.",315.99
1963,"Nov.",317.07
1963,"Dec.",318.36
1964,"Jan.",319.57
1964,"Feb.",NA
1964,"March",NA
1964,"April",NA
1964,"May",322.23
1964,"June",321.89
1964,"July",320.44
1964,"Aug.",318.7
1964,"Sept.",316.7
1964,"Oct.",316.87
1964,"Nov.",317.68
1964,"Dec.",318.71
1965,"Jan.",319.44
1965,"Feb.",320.44
1965,"March",320.89
1965,"April",322.13
1965,"May",322.16
1965,"June",321.87
1965,"July",321.21
1965,"Aug.",318.87
1965,"Sept.",317.81
1965,"Oct.",317.3
1965,"Nov.",318.87
1965,"Dec.",319.42
1966,"Jan.",320.62
1966,"Feb.",321.59
1966,"March",322.39
1966,"April",323.7
1966,"May",324.07
1966,"June",323.75
1966,"July",322.4
1966,"Aug.",320.37
1966,"Sept.",318.64
1966,"Oct.",318.1
1966,"Nov.",319.79
1966,"Dec.",321.03
1967,"Jan.",322.33
1967,"Feb.",322.5
1967,"March",323.04
1967,"April",324.42
1967,"May",325
1967,"June",324.09
1967,"July",322.55
1967,"Aug.",320.92
1967,"Sept.",319.26
1967,"Oct.",319.39
1967,"Nov.",320.72
1967,"Dec.",321.96
1968,"Jan.",322.57
1968,"Feb.",323.15
1968,"March",323.89
1968,"April",325.02
1968,"May",325.57
1968,"June",325.36
1968,"July",324.14
1968,"Aug.",322.11
1968,"Sept.",320.33
1968,"Oct.",320.25
1968,"Nov.",321.32
1968,"Dec.",322.9
1969,"Jan.",324
1969,"Feb.",324.42
1969,"March",325.64
1969,"April",326.66
1969,"May",327.38
1969,"June",326.7
1969,"July",325.89
1969,"Aug.",323.67
1969,"Sept.",322.38
1969,"Oct.",321.78
1969,"Nov.",322.85
1969,"Dec.",324.12
1970,"Jan.",325.06
1970,"Feb.",325.98
1970,"March",326.93
1970,"April",328.13
1970,"May",328.07
1970,"June",327.66
1970,"July",326.35
1970,"Aug.",324.69
1970,"Sept.",323.1
1970,"Oct.",323.07
1970,"Nov.",324.01
1970,"Dec.",325.13
1971,"Jan.",326.17
1971,"Feb.",326.68
1971,"March",327.18
1971,"April",327.78
1971,"May",328.92
1971,"June",328.57
1971,"July",327.37
1971,"Aug.",325.43
1971,"Sept.",323.36
1971,"Oct.",323.56
1971,"Nov.",324.8
1971,"Dec.",326.01
1972,"Jan.",326.77
1972,"Feb.",327.63
1972,"March",327.75
1972,"April",329.72
1972,"May",330.07
1972,"June",329.09
1972,"July",328.05
1972,"Aug.",326.32
1972,"Sept.",324.84
1972,"Oct.",325.2
1972,"Nov.",326.5
1972,"Dec.",327.55
1973,"Jan.",328.54
1973,"Feb.",329.56
1973,"March",330.3
1973,"April",331.5
1973,"May",332.48
1973,"June",332.07
1973,"July",330.87
1973,"Aug.",329.31
1973,"Sept.",327.51
1973,"Oct.",327.18
1973,"Nov.",328.16
1973,"Dec.",328.64
1974,"Jan.",329.35
1974,"Feb.",330.71
1974,"March",331.48
1974,"April",332.65
1974,"May",333.09
1974,"June",332.25
1974,"July",331.18
1974,"Aug.",329.4
1974,"Sept.",327.44
1974,"Oct.",327.37
1974,"Nov.",328.46
1974,"Dec.",329.58
1975,"Jan.",330.4
1975,"Feb.",331.41
1975,"March",332.04
1975,"April",333.31
1975,"May",333.96
1975,"June",333.59
1975,"July",331.91
1975,"Aug.",330.06
1975,"Sept.",328.56
1975,"Oct.",328.34
1975,"Nov.",329.49
1975,"Dec.",330.76
1976,"Jan.",331.74
1976,"Feb.",332.56
1976,"March",333.5
1976,"April",334.58
1976,"May",334.87
1976,"June",334.34
1976,"July",333.05
1976,"Aug.",330.94
1976,"Sept.",329.3
1976,"Oct.",328.94
1976,"Nov.",330.31
1976,"Dec.",331.68
1977,"Jan.",332.92
1977,"Feb.",333.42
1977,"March",334.7
1977,"April",336.07
1977,"May",336.74
1977,"June",336.27
1977,"July",334.93
1977,"Aug.",332.75
1977,"Sept.",331.58
1977,"Oct.",331.16
1977,"Nov.",332.4
1977,"Dec.",333.85
1978,"Jan.",334.97
1978,"Feb.",335.39
1978,"March",336.64
1978,"April",337.76
1978,"May",338.01
1978,"June",337.89
1978,"July",336.54
1978,"Aug.",334.68
1978,"Sept.",332.76
1978,"Oct.",332.54
1978,"Nov.",333.92
1978,"Dec.",334.95
1979,"Jan.",336.23
1979,"Feb.",336.76
1979,"March",337.96
1979,"April",338.89
1979,"May",339.47
1979,"June",339.29
1979,"July",337.73
1979,"Aug.",336.09
1979,"Sept.",333.91
1979,"Oct.",333.86
1979,"Nov.",335.29
1979,"Dec.",336.73
1980,"Jan.",338.01
1980,"Feb.",338.36
1980,"March",340.08
1980,"April",340.77
1980,"May",341.46
1980,"June",341.17
1980,"July",339.56
1980,"Aug.",337.6
1980,"Sept.",335.88
1980,"Oct.",336.01
1980,"Nov.",337.1
1980,"Dec.",338.21
1981,"Jan.",339.23
1981,"Feb.",340.47
1981,"March",341.38
1981,"April",342.51
1981,"May",342.91
1981,"June",342.25
1981,"July",340.49
1981,"Aug.",338.43
1981,"Sept.",336.69
1981,"Oct.",336.85
1981,"Nov.",338.36
1981,"Dec.",339.61
1982,"Jan.",340.75
1982,"Feb.",341.61
1982,"March",342.7
1982,"April",343.56
1982,"May",344.13
1982,"June",343.35
1982,"July",342.06
1982,"Aug.",339.82
1982,"Sept.",337.97
1982,"Oct.",337.86
1982,"Nov.",339.26
1982,"Dec.",340.49
1983,"Jan.",341.37
1983,"Feb.",342.52
1983,"March",343.1
1983,"April",344.94
1983,"May",345.75
1983,"June",345.32
1983,"July",343.99
1983,"Aug.",342.39
1983,"Sept.",339.86
1983,"Oct.",339.99
1983,"Nov.",341.16
1983,"Dec.",342.99
1984,"Jan.",343.7
1984,"Feb.",344.51
1984,"March",345.28
1984,"April",347.08
1984,"May",347.43
1984,"June",346.79
1984,"July",345.4
1984,"Aug.",343.28
1984,"Sept.",341.07
1984,"Oct.",341.35
1984,"Nov.",342.98
1984,"Dec.",344.22
1985,"Jan.",344.97
1985,"Feb.",346
1985,"March",347.43
1985,"April",348.35
1985,"May",348.93
1985,"June",348.25
1985,"July",346.56
1985,"Aug.",344.69
1985,"Sept.",343.09
1985,"Oct.",342.8
1985,"Nov.",344.24
1985,"Dec.",345.56
1986,"Jan.",346.29
1986,"Feb.",346.96
1986,"March",347.86
1986,"April",349.55
1986,"May",350.21
1986,"June",349.54
1986,"July",347.94
1986,"Aug.",345.91
1986,"Sept.",344.86
1986,"Oct.",344.17
1986,"Nov.",345.66
1986,"Dec.",346.9
1987,"Jan.",348.02
1987,"Feb.",348.47
1987,"March",349.42
1987,"April",350.99
1987,"May",351.84
1987,"June",351.25
1987,"July",349.52
1987,"Aug.",348.1
1987,"Sept.",346.44
1987,"Oct.",346.36
1987,"Nov.",347.81
1987,"Dec.",348.96
1988,"Jan.",350.43
1988,"Feb.",351.72
1988,"March",352.22
1988,"April",353.59
1988,"May",354.22
1988,"June",353.79
1988,"July",352.39
1988,"Aug.",350.44
1988,"Sept.",348.72
1988,"Oct.",348.88
1988,"Nov.",350.07
1988,"Dec.",351.34
1989,"Jan.",352.76
1989,"Feb.",353.07
1989,"March",353.68
1989,"April",355.42
1989,"May",355.67
1989,"June",355.13
1989,"July",353.9
1989,"Aug.",351.67
1989,"Sept.",349.8
1989,"Oct.",349.99
1989,"Nov.",351.3
1989,"Dec.",352.53
1990,"Jan.",353.66
1990,"Feb.",354.7
1990,"March",355.39
1990,"April",356.2
1990,"May",357.16
1990,"June",356.22
1990,"July",354.82
1990,"Aug.",352.91
1990,"Sept.",350.96
1990,"Oct.",351.18
1990,"Nov.",352.83
1990,"Dec.",354.21
1991,"Jan.",354.72
1991,"Feb.",355.75
1991,"March",357.16
1991,"April",358.6
1991,"May",359.34
1991,"June",358.24
1991,"July",356.17
1991,"Aug.",354.03
1991,"Sept.",352.16
1991,"Oct.",352.21
1991,"Nov.",353.75
1991,"Dec.",354.99
1992,"Jan.",355.98
1992,"Feb.",356.72
1992,"March",357.81
1992,"April",359.15
1992,"May",359.66
1992,"June",359.25
1992,"July",357.03
1992,"Aug.",355
1992,"Sept.",353.01
1992,"Oct.",353.31
1992,"Nov.",354.16
1992,"Dec.",355.4
1993,"Jan.",356.7
1993,"Feb.",357.16
1993,"March",358.38
1993,"April",359.46
1993,"May",360.28
1993,"June",359.6
1993,"July",357.57
1993,"Aug.",355.52
1993,"Sept.",353.7
1993,"Oct.",353.98
1993,"Nov.",355.33
1993,"Dec.",356.8
1994,"Jan.",358.36
1994,"Feb.",358.91
1994,"March",359.97
1994,"April",361.26
1994,"May",361.68
1994,"June",360.95
1994,"July",359.55
1994,"Aug.",357.49
1994,"Sept.",355.84
1994,"Oct.",355.99
1994,"Nov.",357.58
1994,"Dec.",359.04
1995,"Jan.",359.96
1995,"Feb.",361
1995,"March",361.64
1995,"April",363.45
1995,"May",363.79
1995,"June",363.26
1995,"July",361.9
1995,"Aug.",359.46
1995,"Sept.",358.06
1995,"Oct.",357.75
1995,"Nov.",359.56
1995,"Dec.",360.7
1996,"Jan.",362.05
1996,"Feb.",363.25
1996,"March",364.03
1996,"April",364.72
1996,"May",365.41
1996,"June",364.97
1996,"July",363.65
1996,"Aug.",361.49
1996,"Sept.",359.46
1996,"Oct.",359.6
1996,"Nov.",360.76
1996,"Dec.",362.33
1997,"Jan.",363.18
1997,"Feb.",364
1997,"March",364.57
1997,"April",366.35
1997,"May",366.79
1997,"June",365.62
1997,"July",364.47
1997,"Aug.",362.51
1997,"Sept.",360.19
1997,"Oct.",360.77
1997,"Nov.",362.43
1997,"Dec.",364.28
1998,"Jan.",365.32
1998,"Feb.",366.15
1998,"March",367.31
1998,"April",368.61
1998,"May",369.29
1998,"June",368.87
1998,"July",367.64
1998,"Aug.",365.77
1998,"Sept.",363.9
1998,"Oct.",364.23
1998,"Nov.",365.46
1998,"Dec.",366.97
1999,"Jan.",368.15
1999,"Feb.",368.87
1999,"March",369.59
1999,"April",371.14
1999,"May",371
1999,"June",370.35
1999,"July",369.27
1999,"Aug.",366.94
1999,"Sept.",364.63
1999,"Oct.",365.12
1999,"Nov.",366.67
1999,"Dec.",368.01
2000,"Jan.",369.14
2000,"Feb.",369.46
2000,"March",370.52
2000,"April",371.66
2000,"May",371.82
2000,"June",371.7
2000,"July",370.12
2000,"Aug.",368.12
2000,"Sept.",366.62
2000,"Oct.",366.73
2000,"Nov.",368.29
2000,"Dec.",369.53
2001,"Jan.",370.28
2001,"Feb.",371.5
2001,"March",372.12
2001,"April",372.87
2001,"May",374.02
2001,"June",373.3
2001,"July",371.62
2001,"Aug.",369.55
2001,"Sept.",367.96
2001,"Oct.",368.09
2001,"Nov.",369.68
2001,"Dec.",371.24
2002,"Jan.",372.43
2002,"Feb.",373.09
2002,"March",373.52
2002,"April",374.86
2002,"May",375.55
2002,"June",375.41
2002,"July",374.02
2002,"Aug.",371.49
2002,"Sept.",370.71
2002,"Oct.",370.25
2002,"Nov.",372.08
2002,"Dec.",373.78
2003,"Jan.",374.68
2003,"Feb.",375.63
2003,"March",376.11
2003,"April",377.65
2003,"May",378.35
2003,"June",378.13
2003,"July",376.62
2003,"Aug.",374.5
2003,"Sept.",372.99
2003,"Oct.",373
2003,"Nov.",374.35
2003,"Dec.",375.7
