"Subject","Session","Trial","CorrectAnswer","FarAway","Littered","PictureTarget.ACC","PictureTarget.RT","SceneLetter","Side","Target","TrialList"
10,1,1,2,0,0,1,635,"d","right","00rd.bmp",8
10,1,3,1,0,0,1,1144,"e","left","00le.bmp",4
10,1,12,1,0,0,1,570,"c","left","00lc.bmp",2
10,1,15,1,0,0,1,589,"b","left","00lb.bmp",1
10,1,17,1,0,0,1,754,"f","left","00lf.bmp",5
10,1,18,1,0,0,1,601,"d","left","00ld.bmp",3
10,1,27,2,0,0,1,507,"c","right","00rc.bmp",7
10,1,33,2,0,0,1,469,"b","right","00rb.bmp",6
10,1,38,2,0,0,1,567,"f","right","00rf.bmp",10
10,1,39,2,0,0,1,783,"e","right","00re.bmp",9
10,2,1,1,0,0,1,493,"d","left","00ld.bmp",3
10,2,3,1,0,0,1,552,"c","left","00lc.bmp",2
10,2,5,2,0,0,1,552,"d","right","00rd.bmp",8
10,2,8,2,0,0,1,605,"f","right","00rf.bmp",10
10,2,20,1,0,0,1,625,"e","left","00le.bmp",4
10,2,27,2,0,0,1,424,"b","right","00rb.bmp",6
10,2,28,1,0,0,1,407,"b","left","00lb.bmp",1
10,2,31,2,0,0,1,466,"c","right","00rc.bmp",7
10,2,34,2,0,0,1,711,"e","right","00re.bmp",9
10,2,38,1,0,0,1,470,"f","left","00lf.bmp",5
10,3,9,2,0,0,1,537,"d","right","00rd.bmp",8
10,3,12,1,0,0,1,401,"e","left","00le.bmp",4
10,3,13,1,0,0,1,402,"d","left","00ld.bmp",3
10,3,17,2,0,0,1,408,"e","right","00re.bmp",9
10,3,22,1,0,0,1,409,"c","left","00lc.bmp",2
10,3,25,2,0,0,1,434,"f","right","00rf.bmp",10
10,3,30,1,0,0,1,459,"b","left","00lb.bmp",1
10,3,35,2,0,0,1,462,"b","right","00rb.bmp",6
10,3,36,2,0,0,1,469,"c","right","00rc.bmp",7
10,3,40,1,0,0,1,516,"f","left","00lf.bmp",5
10,4,1,2,0,0,1,403,"e","right","00re.bmp",9
10,4,2,1,0,0,1,378,"c","left","00lc.bmp",2
10,4,15,1,0,0,1,378,"b","left","00lb.bmp",1
10,4,16,2,0,0,1,413,"f","right","00rf.bmp",10
10,4,19,2,0,0,1,407,"b","right","00rb.bmp",6
10,4,24,2,0,0,1,423,"c","right","00rc.bmp",7
10,4,28,2,0,0,1,414,"d","right","00rd.bmp",8
10,4,29,1,0,0,1,560,"e","left","00le.bmp",4
10,4,30,1,0,0,1,399,"d","left","00ld.bmp",3
10,4,39,1,0,0,1,523,"f","left","00lf.bmp",5
12,1,2,2,0,0,1,502,"b","right","00rb.bmp",6
12,1,10,1,0,0,1,529,"b","left","00lb.bmp",1
12,1,11,2,0,0,1,416,"e","right","00re.bmp",9
12,1,18,1,0,0,1,518,"e","left","00le.bmp",4
12,1,25,2,0,0,1,467,"c","right","00rc.bmp",7
12,1,26,1,0,0,1,528,"f","left","00lf.bmp",5
12,1,29,2,0,0,1,556,"d","right","00rd.bmp",8
12,1,32,2,0,0,1,483,"f","right","00rf.bmp",10
12,1,34,1,0,0,1,496,"c","left","00lc.bmp",2
12,1,40,1,0,0,1,554,"d","left","00ld.bmp",3
12,2,2,1,0,0,1,475,"d","left","00ld.bmp",3
12,2,6,2,0,0,1,423,"e","right","00re.bmp",9
12,2,7,2,0,0,1,439,"c","right","00rc.bmp",7
12,2,10,2,0,0,1,438,"b","right","00rb.bmp",6
12,2,22,1,0,0,1,455,"f","left","00lf.bmp",5
12,2,29,2,0,0,1,429,"f","right","00rf.bmp",10
12,2,34,2,0,0,1,447,"d","right","00rd.bmp",8
12,2,35,1,0,0,1,467,"b","left","00lb.bmp",1
12,2,37,1,0,0,1,477,"c","left","00lc.bmp",2
12,2,40,1,0,0,1,508,"e","left","00le.bmp",4
12,3,7,1,0,0,1,499,"b","left","00lb.bmp",1
12,3,9,2,0,0,1,426,"e","right","00re.bmp",9
12,3,10,1,0,0,1,460,"c","left","00lc.bmp",2
12,3,15,2,0,0,1,431,"b","right","00rb.bmp",6
12,3,16,1,0,0,1,409,"e","left","00le.bmp",4
12,3,19,2,0,0,1,470,"f","right","00rf.bmp",10
12,3,22,2,0,0,1,514,"c","right","00rc.bmp",7
12,3,23,2,0,0,1,522,"d","right","00rd.bmp",8
12,3,33,1,0,0,1,587,"f","left","00lf.bmp",5
12,3,38,1,0,0,1,563,"d","left","00ld.bmp",3
12,4,3,1,0,0,1,477,"b","left","00lb.bmp",1
12,4,10,2,0,0,0,624,"e","right","00re.bmp",9
12,4,14,1,0,0,1,538,"f","left","00lf.bmp",5
12,4,15,1,0,0,1,481,"c","left","00lc.bmp",2
12,4,16,2,0,0,1,486,"d","right","00rd.bmp",8
12,4,23,2,0,0,1,484,"f","right","00rf.bmp",10
12,4,28,1,0,0,1,412,"d","left","00ld.bmp",3
12,4,29,2,0,0,1,392,"b","right","00rb.bmp",6
12,4,32,2,0,0,1,451,"c","right","00rc.bmp",7
12,4,34,1,0,0,1,477,"e","left","00le.bmp",4
13,1,6,1,0,0,1,490,"c","left","00lc.bmp",2
13,1,7,2,0,0,1,393,"b","right","00rb.bmp",6
13,1,9,1,0,0,1,473,"b","left","00lb.bmp",1
13,1,11,1,0,0,1,376,"d","left","00ld.bmp",3
13,1,12,2,0,0,1,406,"c","right","00rc.bmp",7
13,1,14,2,0,0,1,489,"f","right","00rf.bmp",10
13,1,19,2,0,0,1,573,"e","right","00re.bmp",9
13,1,23,2,0,0,1,430,"d","right","00rd.bmp",8
13,1,24,1,0,0,1,871,"e","left","00le.bmp",4
13,1,32,1,0,0,1,452,"f","left","00lf.bmp",5
13,2,2,2,0,0,1,401,"c","right","00rc.bmp",7
13,2,5,2,0,0,1,367,"e","right","00re.bmp",9
13,2,11,2,0,0,1,386,"b","right","00rb.bmp",6
13,2,13,1,0,0,1,484,"f","left","00lf.bmp",5
13,2,25,2,0,0,1,459,"d","right","00rd.bmp",8
13,2,31,1,0,0,1,409,"e","left","00le.bmp",4
13,2,34,2,0,0,1,472,"f","right","00rf.bmp",10
13,2,36,1,0,0,1,389,"d","left","00ld.bmp",3
13,2,38,1,0,0,1,406,"b","left","00lb.bmp",1
13,2,39,1,0,0,1,417,"c","left","00lc.bmp",2
13,3,1,1,0,0,0,516,"e","left","00le.bmp",4
13,3,8,2,0,0,1,677,"e","right","00re.bmp",9
13,3,10,2,0,0,1,504,"f","right","00rf.bmp",10
13,3,11,2,0,0,1,431,"b","right","00rb.bmp",6
13,3,15,1,0,0,1,472,"d","left","00ld.bmp",3
13,3,17,2,0,0,1,549,"d","right","00rd.bmp",8
13,3,25,1,0,0,1,429,"b","left","00lb.bmp",1
13,3,30,1,0,0,1,407,"f","left","00lf.bmp",5
13,3,32,2,0,0,1,415,"c","right","00rc.bmp",7
13,3,40,1,0,0,1,362,"c","left","00lc.bmp",2
13,4,1,2,0,0,1,430,"d","right","00rd.bmp",8
13,4,8,2,0,0,1,405,"f","right","00rf.bmp",10
13,4,10,2,0,0,1,447,"e","right","00re.bmp",9
13,4,12,1,0,0,1,465,"c","left","00lc.bmp",2
13,4,14,2,0,0,1,375,"b","right","00rb.bmp",6
13,4,21,1,0,0,1,443,"e","left","00le.bmp",4
13,4,27,1,0,0,1,431,"d","left","00ld.bmp",3
13,4,29,2,0,0,1,381,"c","right","00rc.bmp",7
13,4,38,1,0,0,1,398,"f","left","00lf.bmp",5
13,4,40,1,0,0,1,368,"b","left","00lb.bmp",1
14,1,4,2,0,0,1,580,"b","right","00rb.bmp",6
14,1,5,2,0,0,1,611,"f","right","00rf.bmp",10
14,1,13,1,0,0,1,520,"d","left","00ld.bmp",3
14,1,23,1,0,0,1,431,"c","left","00lc.bmp",2
14,1,25,1,0,0,1,497,"f","left","00lf.bmp",5
14,1,28,1,0,0,1,495,"b","left","00lb.bmp",1
14,1,29,2,0,0,1,506,"d","right","00rd.bmp",8
14,1,33,1,0,0,1,557,"e","left","00le.bmp",4
14,1,34,2,0,0,1,442,"c","right","00rc.bmp",7
14,1,38,2,0,0,1,540,"e","right","00re.bmp",9
14,2,6,1,0,0,1,599,"e","left","00le.bmp",4
14,2,8,1,0,0,1,327,"d","left","00ld.bmp",3
14,2,9,2,0,0,1,355,"b","right","00rb.bmp",6
14,2,14,2,0,0,1,372,"f","right","00rf.bmp",10
14,2,16,1,0,0,1,388,"b","left","00lb.bmp",1
14,2,18,2,0,0,1,707,"d","right","00rd.bmp",8
14,2,21,1,0,0,1,436,"c","left","00lc.bmp",2
14,2,22,2,0,0,1,433,"c","right","00rc.bmp",7
14,2,29,2,0,0,1,410,"e","right","00re.bmp",9
14,2,32,1,0,0,1,424,"f","left","00lf.bmp",5
14,3,10,2,0,0,0,614,"e","right","00re.bmp",9
14,3,11,1,0,0,1,502,"d","left","00ld.bmp",3
14,3,15,2,0,0,1,610,"f","right","00rf.bmp",10
14,3,16,1,0,0,1,525,"f","left","00lf.bmp",5
14,3,18,1,0,0,1,584,"e","left","00le.bmp",4
14,3,21,1,0,0,1,488,"c","left","00lc.bmp",2
14,3,25,1,0,0,1,423,"b","left","00lb.bmp",1
14,3,26,2,0,0,1,440,"c","right","00rc.bmp",7
14,3,30,2,0,0,1,428,"d","right","00rd.bmp",8
14,3,33,2,0,0,1,472,"b","right","00rb.bmp",6
14,4,1,1,0,0,1,391,"f","left","00lf.bmp",5
14,4,9,2,0,0,1,496,"d","right","00rd.bmp",8
14,4,18,1,0,0,1,296,"e","left","00le.bmp",4
14,4,19,1,0,0,1,466,"c","left","00lc.bmp",2
14,4,21,2,0,0,1,469,"b","right","00rb.bmp",6
14,4,29,2,0,0,1,716,"e","right","00re.bmp",9
14,4,31,1,0,0,1,477,"d","left","00ld.bmp",3
14,4,32,2,0,0,1,448,"f","right","00rf.bmp",10
14,4,33,2,0,0,1,480,"c","right","00rc.bmp",7
14,4,40,1,0,0,1,434,"b","left","00lb.bmp",1
15,1,1,1,0,0,1,395,"b","left","00lb.bmp",1
15,1,4,2,0,0,1,597,"d","right","00rd.bmp",8
15,1,8,1,0,0,1,590,"c","left","00lc.bmp",2
15,1,9,2,0,0,1,567,"f","right","00rf.bmp",10
15,1,12,2,0,0,1,453,"c","right","00rc.bmp",7
15,1,18,2,0,0,1,559,"e","right","00re.bmp",9
15,1,22,1,0,0,1,671,"e","left","00le.bmp",4
15,1,32,2,0,0,1,431,"b","right","00rb.bmp",6
15,1,35,1,0,0,1,475,"f","left","00lf.bmp",5
15,1,38,1,0,0,1,482,"d","left","00ld.bmp",3
15,2,3,1,0,0,1,527,"e","left","00le.bmp",4
15,2,9,1,0,0,1,585,"f","left","00lf.bmp",5
15,2,11,1,0,0,1,518,"b","left","00lb.bmp",1
15,2,13,1,0,0,1,453,"c","left","00lc.bmp",2
15,2,15,2,0,0,1,449,"c","right","00rc.bmp",7
15,2,16,1,0,0,1,458,"d","left","00ld.bmp",3
15,2,20,2,0,0,1,415,"d","right","00rd.bmp",8
15,2,32,2,0,0,1,463,"f","right","00rf.bmp",10
15,2,36,2,0,0,1,484,"e","right","00re.bmp",9
15,2,38,2,0,0,1,451,"b","right","00rb.bmp",6
15,3,14,1,0,0,1,457,"d","left","00ld.bmp",3
15,3,19,2,0,0,1,502,"e","right","00re.bmp",9
15,3,20,1,0,0,1,388,"e","left","00le.bmp",4
15,3,22,1,0,0,1,406,"c","left","00lc.bmp",2
15,3,25,2,0,0,1,402,"f","right","00rf.bmp",10
15,3,27,2,0,0,1,401,"b","right","00rb.bmp",6
15,3,29,2,0,0,1,389,"c","right","00rc.bmp",7
15,3,30,2,0,0,1,407,"d","right","00rd.bmp",8
15,3,34,1,0,0,1,438,"b","left","00lb.bmp",1
15,3,38,1,0,0,1,454,"f","left","00lf.bmp",5
15,4,1,1,0,0,1,642,"e","left","00le.bmp",4
15,4,5,2,0,0,1,415,"d","right","00rd.bmp",8
15,4,13,2,0,0,1,383,"c","right","00rc.bmp",7
15,4,15,2,0,0,1,352,"e","right","00re.bmp",9
15,4,17,1,0,0,1,572,"b","left","00lb.bmp",1
15,4,21,1,0,0,1,417,"d","left","00ld.bmp",3
15,4,26,1,0,0,1,408,"c","left","00lc.bmp",2
15,4,33,2,0,0,1,733,"f","right","00rf.bmp",10
15,4,37,1,0,0,1,517,"f","left","00lf.bmp",5
15,4,39,2,0,0,1,554,"b","right","00rb.bmp",6
18,1,2,1,0,0,1,505,"f","left","00lf.bmp",5
18,1,4,1,0,0,1,575,"d","left","00ld.bmp",3
18,1,14,2,0,0,1,1019,"e","right","00re.bmp",9
18,1,24,1,0,0,1,522,"c","left","00lc.bmp",2
18,1,26,2,0,0,1,483,"c","right","00rc.bmp",7
18,1,29,1,0,0,0,627,"e","left","00le.bmp",4
18,1,35,2,0,0,1,461,"b","right","00rb.bmp",6
18,1,37,2,0,0,0,592,"d","right","00rd.bmp",8
18,1,38,1,0,0,1,690,"b","left","00lb.bmp",1
18,1,40,2,0,0,1,529,"f","right","00rf.bmp",10
18,2,17,2,0,0,1,442,"c","right","00rc.bmp",7
18,2,18,2,0,0,0,612,"e","right","00re.bmp",9
18,2,20,1,0,0,1,421,"b","left","00lb.bmp",1
18,2,21,1,0,0,1,621,"e","left","00le.bmp",4
18,2,24,2,0,0,1,670,"f","right","00rf.bmp",10
18,2,28,1,0,0,1,425,"f","left","00lf.bmp",5
18,2,30,2,0,0,1,499,"d","right","00rd.bmp",8
18,2,31,1,0,0,1,411,"d","left","00ld.bmp",3
18,2,37,2,0,0,1,458,"b","right","00rb.bmp",6
18,2,38,1,0,0,1,566,"c","left","00lc.bmp",2
18,3,1,2,0,0,1,693,"b","right","00rb.bmp",6
18,3,2,1,0,0,1,382,"d","left","00ld.bmp",3
18,3,10,1,0,0,1,510,"c","left","00lc.bmp",2
18,3,12,1,0,0,1,910,"e","left","00le.bmp",4
18,3,21,2,0,0,1,744,"e","right","00re.bmp",9
18,3,22,1,0,0,1,544,"b","left","00lb.bmp",1
18,3,26,1,0,0,1,519,"f","left","00lf.bmp",5
18,3,28,2,0,0,1,584,"f","right","00rf.bmp",10
18,3,30,2,0,0,1,602,"d","right","00rd.bmp",8
18,3,35,2,0,0,1,474,"c","right","00rc.bmp",7
18,4,6,1,0,0,1,489,"c","left","00lc.bmp",2
18,4,7,2,0,0,1,444,"c","right","00rc.bmp",7
18,4,10,1,0,0,1,494,"f","left","00lf.bmp",5
18,4,21,1,0,0,1,768,"d","left","00ld.bmp",3
18,4,23,2,0,0,1,516,"d","right","00rd.bmp",8
18,4,26,2,0,0,1,698,"e","right","00re.bmp",9
18,4,30,2,0,0,1,474,"f","right","00rf.bmp",10
18,4,31,2,0,0,1,474,"b","right","00rb.bmp",6
18,4,34,1,0,0,1,792,"e","left","00le.bmp",4
18,4,36,1,0,0,1,419,"b","left","00lb.bmp",1
20,1,1,2,0,0,1,498,"d","right","00rd.bmp",8
20,1,6,2,0,0,1,399,"c","right","00rc.bmp",7
20,1,8,1,0,0,1,596,"e","left","00le.bmp",4
20,1,12,1,0,0,1,478,"d","left","00ld.bmp",3
20,1,14,2,0,0,1,479,"e","right","00re.bmp",9
20,1,15,1,0,0,1,359,"b","left","00lb.bmp",1
20,1,25,2,0,0,1,409,"f","right","00rf.bmp",10
20,1,33,2,0,0,1,389,"b","right","00rb.bmp",6
20,1,34,1,0,0,1,391,"f","left","00lf.bmp",5
20,1,39,1,0,0,1,414,"c","left","00lc.bmp",2
20,2,5,2,0,0,1,415,"e","right","00re.bmp",9
20,2,6,1,0,0,1,489,"e","left","00le.bmp",4
20,2,7,1,0,0,1,578,"d","left","00ld.bmp",3
20,2,8,2,0,0,1,515,"f","right","00rf.bmp",10
20,2,9,2,0,0,1,489,"b","right","00rb.bmp",6
20,2,26,1,0,0,1,486,"f","left","00lf.bmp",5
20,2,27,2,0,0,1,393,"d","right","00rd.bmp",8
20,2,28,2,0,0,1,414,"c","right","00rc.bmp",7
20,2,29,1,0,0,1,389,"b","left","00lb.bmp",1
20,2,30,1,0,0,1,441,"c","left","00lc.bmp",2
20,3,5,2,0,0,1,432,"e","right","00re.bmp",9
20,3,9,1,0,0,1,370,"b","left","00lb.bmp",1
20,3,10,2,0,0,1,362,"f","right","00rf.bmp",10
20,3,12,1,0,0,1,424,"f","left","00lf.bmp",5
20,3,13,1,0,0,1,409,"d","left","00ld.bmp",3
20,3,14,2,0,0,1,383,"d","right","00rd.bmp",8
20,3,20,2,0,0,1,386,"c","right","00rc.bmp",7
20,3,24,2,0,0,1,514,"b","right","00rb.bmp",6
20,3,29,1,0,0,1,411,"c","left","00lc.bmp",2
20,3,38,1,0,0,1,387,"e","left","00le.bmp",4
20,4,1,2,0,0,1,449,"e","right","00re.bmp",9
20,4,3,1,0,0,1,400,"b","left","00lb.bmp",1
20,4,11,1,0,0,1,399,"c","left","00lc.bmp",2
20,4,13,2,0,0,1,380,"f","right","00rf.bmp",10
20,4,15,2,0,0,1,395,"c","right","00rc.bmp",7
20,4,16,2,0,0,1,392,"d","right","00rd.bmp",8
20,4,23,2,0,0,1,402,"b","right","00rb.bmp",6
20,4,26,1,0,0,1,449,"f","left","00lf.bmp",5
20,4,37,1,0,0,1,379,"e","left","00le.bmp",4
20,4,38,1,0,0,1,369,"d","left","00ld.bmp",3
22,1,1,2,0,0,1,774,"b","right","00rb.bmp",6
22,1,5,2,0,0,1,669,"d","right","00rd.bmp",8
22,1,7,2,0,0,1,844,"f","right","00rf.bmp",10
22,1,9,2,0,0,1,1194,"e","right","00re.bmp",9
22,1,13,2,0,0,1,658,"c","right","00rc.bmp",7
22,1,18,1,0,0,1,902,"e","left","00le.bmp",4
22,1,21,1,0,0,1,586,"b","left","00lb.bmp",1
22,1,24,1,0,0,1,655,"f","left","00lf.bmp",5
22,1,37,1,0,0,1,509,"c","left","00lc.bmp",2
22,1,39,1,0,0,1,479,"d","left","00ld.bmp",3
22,2,1,1,0,0,1,572,"b","left","00lb.bmp",1
22,2,2,2,0,0,1,441,"f","right","00rf.bmp",10
22,2,9,1,0,0,1,528,"c","left","00lc.bmp",2
22,2,11,2,0,0,1,488,"d","right","00rd.bmp",8
22,2,14,1,0,0,1,543,"f","left","00lf.bmp",5
22,2,15,2,0,0,1,378,"c","right","00rc.bmp",7
22,2,22,2,0,0,1,612,"e","right","00re.bmp",9
22,2,24,1,0,0,1,410,"d","left","00ld.bmp",3
22,2,37,1,0,0,1,759,"e","left","00le.bmp",4
22,2,40,2,0,0,1,434,"b","right","00rb.bmp",6
22,3,1,1,0,0,1,564,"f","left","00lf.bmp",5
22,3,5,2,0,0,1,426,"b","right","00rb.bmp",6
22,3,9,2,0,0,1,511,"d","right","00rd.bmp",8
22,3,11,2,0,0,1,474,"e","right","00re.bmp",9
22,3,14,1,0,0,1,623,"e","left","00le.bmp",4
22,3,19,1,0,0,1,438,"c","left","00lc.bmp",2
22,3,31,1,0,0,1,424,"b","left","00lb.bmp",1
22,3,33,2,0,0,1,495,"c","right","00rc.bmp",7
22,3,38,2,0,0,1,553,"f","right","00rf.bmp",10
22,3,39,1,0,0,1,452,"d","left","00ld.bmp",3
22,4,3,2,0,0,1,561,"d","right","00rd.bmp",8
22,4,5,2,0,0,1,413,"f","right","00rf.bmp",10
22,4,9,2,0,0,1,415,"c","right","00rc.bmp",7
22,4,14,2,0,0,1,440,"b","right","00rb.bmp",6
22,4,17,1,0,0,1,546,"d","left","00ld.bmp",3
22,4,18,1,0,0,1,472,"b","left","00lb.bmp",1
22,4,19,1,0,0,1,410,"f","left","00lf.bmp",5
22,4,22,2,0,0,1,413,"e","right","00re.bmp",9
22,4,25,1,0,0,1,417,"c","left","00lc.bmp",2
22,4,32,1,0,0,1,594,"e","left","00le.bmp",4
26,1,1,2,0,0,1,577,"f","right","00rf.bmp",10
26,1,2,2,0,0,1,620,"b","right","00rb.bmp",6
26,1,6,2,0,0,1,606,"e","right","00re.bmp",9
26,1,7,2,0,0,1,588,"c","right","00rc.bmp",7
26,1,9,1,0,0,1,551,"d","left","00ld.bmp",3
26,1,19,1,0,0,1,613,"c","left","00lc.bmp",2
26,1,27,2,0,0,1,532,"d","right","00rd.bmp",8
26,1,32,1,0,0,1,502,"e","left","00le.bmp",4
26,1,36,1,0,0,1,559,"f","left","00lf.bmp",5
26,1,40,1,0,0,1,502,"b","left","00lb.bmp",1
26,2,3,2,0,0,1,593,"e","right","00re.bmp",9
26,2,8,1,0,0,1,435,"e","left","00le.bmp",4
26,2,9,2,0,0,1,507,"b","right","00rb.bmp",6
26,2,14,2,0,0,1,545,"d","right","00rd.bmp",8
26,2,17,2,0,0,1,467,"c","right","00rc.bmp",7
26,2,22,1,0,0,1,551,"d","left","00ld.bmp",3
26,2,23,2,0,0,1,581,"f","right","00rf.bmp",10
26,2,27,1,0,0,1,467,"c","left","00lc.bmp",2
26,2,37,1,0,0,1,397,"b","left","00lb.bmp",1
26,2,39,1,0,0,1,430,"f","left","00lf.bmp",5
26,3,6,1,0,0,1,475,"b","left","00lb.bmp",1
26,3,9,1,0,0,1,401,"d","left","00ld.bmp",3
26,3,12,2,0,0,1,490,"f","right","00rf.bmp",10
26,3,16,2,0,0,1,708,"e","right","00re.bmp",9
26,3,17,1,0,0,1,550,"f","left","00lf.bmp",5
26,3,19,1,0,0,1,434,"c","left","00lc.bmp",2
26,3,23,1,0,0,1,464,"e","left","00le.bmp",4
26,3,30,2,0,0,1,533,"c","right","00rc.bmp",7
26,3,32,2,0,0,1,376,"b","right","00rb.bmp",6
26,3,33,2,0,0,1,411,"d","right","00rd.bmp",8
26,4,1,2,0,0,1,416,"c","right","00rc.bmp",7
26,4,4,1,0,0,1,422,"c","left","00lc.bmp",2
26,4,9,2,0,0,1,469,"d","right","00rd.bmp",8
26,4,11,1,0,0,1,426,"e","left","00le.bmp",4
26,4,14,2,0,0,1,496,"e","right","00re.bmp",9
26,4,16,1,0,0,1,424,"b","left","00lb.bmp",1
26,4,17,1,0,0,1,396,"d","left","00ld.bmp",3
26,4,35,2,0,0,1,490,"b","right","00rb.bmp",6
26,4,38,1,0,0,1,537,"f","left","00lf.bmp",5
26,4,39,2,0,0,1,444,"f","right","00rf.bmp",10
6,1,9,2,0,0,1,669,"d","right","00rd.bmp",8
6,1,10,2,0,0,1,684,"b","right","00rb.bmp",6
6,1,12,2,0,0,1,604,"e","right","00re.bmp",9
6,1,14,1,0,0,1,555,"d","left","00ld.bmp",3
6,1,17,2,0,0,1,603,"f","right","00rf.bmp",10
6,1,21,1,0,0,1,455,"b","left","00lb.bmp",1
6,1,22,2,0,0,1,471,"c","right","00rc.bmp",7
6,1,33,1,0,0,1,823,"f","left","00lf.bmp",5
6,1,37,1,0,0,1,575,"c","left","00lc.bmp",2
6,1,40,1,0,0,1,897,"e","left","00le.bmp",4
6,2,5,2,0,0,1,478,"b","right","00rb.bmp",6
6,2,8,2,0,0,1,597,"d","right","00rd.bmp",8
6,2,14,1,0,0,1,543,"f","left","00lf.bmp",5
6,2,15,1,0,0,1,461,"e","left","00le.bmp",4
6,2,16,2,0,0,1,548,"f","right","00rf.bmp",10
6,2,18,1,0,0,1,447,"c","left","00lc.bmp",2
6,2,20,1,0,0,1,486,"d","left","00ld.bmp",3
6,2,21,2,0,0,1,421,"e","right","00re.bmp",9
6,2,29,2,0,0,1,539,"c","right","00rc.bmp",7
6,2,38,1,0,0,1,423,"b","left","00lb.bmp",1
6,3,3,2,0,0,1,602,"e","right","00re.bmp",9
6,3,5,1,0,0,1,427,"e","left","00le.bmp",4
6,3,7,1,0,0,1,582,"d","left","00ld.bmp",3
6,3,10,2,0,0,1,455,"b","right","00rb.bmp",6
6,3,21,1,0,0,1,513,"f","left","00lf.bmp",5
